127.0.0.1 - - [09/Jun/2019:19:34:40 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [09/Jun/2019:19:34:41 +0530] "GET /OnlineVoting/ HTTP/1.1" 200 4426
0:0:0:0:0:0:0:1 - - [09/Jun/2019:19:34:41 +0530] "GET /OnlineVoting/LoginContent/images/vote.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2019:19:34:41 +0530] "GET /OnlineVoting/LoginContent/images/icons/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2019:19:34:46 +0530] "GET /OnlineVoting/Register.jsp HTTP/1.1" 200 6786
0:0:0:0:0:0:0:1 - - [09/Jun/2019:19:34:46 +0530] "GET /OnlineVoting/RegisterContent/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 124962
0:0:0:0:0:0:0:1 - - [09/Jun/2019:19:34:46 +0530] "GET /OnlineVoting/RegisterContent/fonts/iconic/css/material-design-iconic-font.min.css HTTP/1.1" 200 70815
0:0:0:0:0:0:0:1 - - [09/Jun/2019:19:34:46 +0530] "GET /OnlineVoting/RegisterContent/fonts/Linearicons-Free-v1.0.0/icon-font.min.css HTTP/1.1" 200 7354
0:0:0:0:0:0:0:1 - - [09/Jun/2019:19:34:46 +0530] "GET /OnlineVoting/RegisterContent/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 200 19686
0:0:0:0:0:0:0:1 - - [09/Jun/2019:19:34:46 +0530] "GET /OnlineVoting/RegisterContent/vendor/animate/animate.css HTTP/1.1" 200 23848
0:0:0:0:0:0:0:1 - - [09/Jun/2019:19:34:46 +0530] "GET /OnlineVoting/RegisterContent/vendor/animsition/css/animsition.min.css HTTP/1.1" 200 27478
0:0:0:0:0:0:0:1 - - [09/Jun/2019:19:34:46 +0530] "GET /OnlineVoting/RegisterContent/vendor/select2/select2.min.css HTTP/1.1" 200 15196
0:0:0:0:0:0:0:1 - - [09/Jun/2019:19:34:46 +0530] "GET /OnlineVoting/RegisterContent/css/util.css HTTP/1.1" 200 86814
